info,num_bathroom,title,url,price,pid,num_bedroom,pid1,latitude,longitude,date,pid2
"
                    3br -
                    1774ft, -
                ",,Spacious Townhouse near Hoover Elementary,https://corvallis.craigslist.org/apa/5969044677.html,$1700,5969044677,,,,,Feb 12,
"
                    2br -
                    903ft, -
                ",,1 AVAILBLE NOW - with full size wahser/dryer,https://corvallis.craigslist.org/apa/6000936347.html,$925,6000936347,,,,,Feb 12,
"
                    2br -
                    1002ft, -
                ",,"ONLY 1 VACENT NOW, Full Size Washer/dryer",https://corvallis.craigslist.org/apa/6000933861.html,$950,6000933861,,,,,Feb 12,
"
                    3br -
                    1204ft, -
                ",,FURRY FRIENDS WELCOME!,https://corvallis.craigslist.org/apa/5983814377.html,$1400,5983814377,,,,,Feb 12,
"
                    2br -
                    1029ft, -
                ",,HUGE WALK IN CLOSETS!! DON'T MISS OUT ON THE LODGES LUXURY APTS!,https://corvallis.craigslist.org/apa/5965189974.html,$1220,5965189974,,,,,Feb 12,
"
                    2br -
                    1029ft, -
                ",,IT'S TIME TO MOVE INTO LUXURY LIVING AT THE LODGES! APPLY NOW!,https://corvallis.craigslist.org/apa/5964823522.html,$1220,5964823522,,,,,Feb 12,
"
                    4br -
                    1200ft, -
                ",,($400 PRICE REDUCTION PROMOTION)Brand New Townhouse next to Fred Meyer,https://corvallis.craigslist.org/apa/5960585052.html,$2200,5960585052,,,,,Feb 12,
"
                    1br -
                    200ft, -
                ",,"price included everything, fully furnished, summer sublet, 4brs/2bath",https://corvallis.craigslist.org/apa/6000012129.html,$370,6000012129,,,,,Feb 11,
"
                    1br -
                ",,"price included everything, fully furnished, summer sublet, 4brs/2bath",https://corvallis.craigslist.org/apa/6000005885.html,$370,6000005885,,,,,Feb 11,
"
                    1br -
                    500ft, -
                ",,"1 Bedroom, 1 Bathroom - Witham Hill Oaks",https://corvallis.craigslist.org/apa/5999973367.html,$903,5999973367,,,,,Feb 11,
,,Must see! Brand new 3 or 5 bedroom units with gorgeous features!,https://corvallis.craigslist.org/apa/5974436421.html,$2750,5974436421,,,,,Feb 11,
"
                    3br -
                    1147ft, -
                ",,Spacious 3 bedroom Apt. Available NOW! $500 off first month's rent!,https://corvallis.craigslist.org/apa/5986918172.html,$1650,5986918172,,,,,Feb 11,
"
                    2br -
                    952ft, -
                ",,♥ SWEETHEART SPECIAL ♥ MOVE BY 2/15 &GET 4 WEEKS RENT FREE! CALL NOW,https://corvallis.craigslist.org/apa/5995354937.html,$1120,5995354937,,,,,Feb 11,
"
                    2br -
                ",,Great two bedroom apartment 2 blocks from campus!,https://corvallis.craigslist.org/apa/5999491681.html,$995,5999491681,,,,,Feb 11,
